Symbol,priceChange,priceChange%,priceAvg,variance,volatility,previousCloseChange,previousCloseChange%,openChange,openChange%,highChange,highChange%,lowChange,lowChange%,yearHighChange,yearHighChange%,yearLowChange,yearLowChange%,matchedYearHigh,matchedYearLow,bidAvg,bidVar,bidVolatility,bidChange,bidChange%,askAvg,askVar,askVolatility,askChange,askChange%,tradeSizeAvg,tradeSizeAvg$,bidSizeAvg,bidSizeAvg$,askSizeAvg,askSizeAvg$,maxTradeSize,maxAskSize,maxBidSize,maxTradeSize$,maxAskSize$,maxBidSize$,Consumer_Discretionary,Consumer_Staples,Energy,Financials,Health_Care,Industrials,Information Technology,Materials,Real_Estate,Telecommunications_Services,Utilities,matchedDayHigh,matchedDayLow,sampleTo20DaysVolume,sampleToYearVolume,sharesOutstanding,maxTradeSizeToSharesOutstanding,dividendYieldAnnual,dividendRateAnnual
GWW,0.37000000000000455,0.0018928735867396764,195.88319999999999,0.079225759999998854,0.28147070895565468,-7.639999999999986,-0.03754668763514835,-6.1200000000000045,-0.030303030303030325,-7.060000000000002,-0.03479546574667325,1.5900000000000034,0.008185328185328203,-66.86999999999998,-0.2545392257622473,40.84,0.26348387096774195,0,0,195.76490000000004,0.12694099000000109,0.35628779097802538,0.35000000000002274,0.0017912892164390335,196.14939999999996,0.095793640000000194,0.3095054765266686,0.4099999999999966,0.0020967576966349423,76.769999999999996,15037.953263999998,11171.0,2186889.6979000005,17270.0,3387500.1379999993,1100.0,160000.0,30000.0,215471.51999999999,31383903.999999993,5872947.0000000009,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0048701823923589455,0.008047237293394493,56980.0,0.019305019305019305,2.48,5.12
HAL,-0.010000000000005116,-0.00022588660492444353,44.264399999999981,0.00019864000000001633,0.014093970341958873,-0.3200000000000003,-0.007178106774338275,-0.060000000000002274,-0.0013537906137184629,-0.21000000000000085,-0.004722284686305394,0.28000000000000114,0.006366530241018671,-14.520000000000003,-0.24702279686968362,6.079999999999998,0.1592456783656364,0,0,44.258400000000002,0.00020944000000002488,0.014472042012101295,0.0,0.0,44.26909999999998,0.00021219000000000771,0.014566742944117868,0.0,0.0,103.26000000000001,4570.7419439999985,47665.0,2109576.6359999999,44376.0,1964485.5815999992,200.0,90300.0,200000.0,8852.8799999999956,3997499.7299999981,8851680.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0012328423176050623,0.0011764991391594764,872540.0,0.00022921585256836362,1.6,0.72
HBI,0.010000000000001563,0.0005227391531626536,19.152000000000001,0.0013199999999999948,0.036331804249169826,-0.14999999999999858,-0.007776049766718434,0.10000000000000142,0.0052521008403362095,-0.08999999999999986,-0.004680187207488292,0.14000000000000057,0.007368421052631609,-6.91,-0.2652591170825336,0.23000000000000043,0.012162876784769985,0,0,19.150600000000001,0.0013096399999999969,0.036188948589313798,0.010000000000001563,0.0005227391531626536,19.160600000000002,0.0013096399999999986,0.036188948589313819,0.00999999999999801,0.0005224660397073151,114.15000000000001,2186.2008000000001,133758.0,2561545.9547999999,108034.0,2069996.2604000003,500.0,270000.0,280000.0,9576.0,5173362.0000000009,5362168.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0015082940315820782,0.0022213590630865976,364580.0,0.0013714411103187228,3.08,0.6
HOG,0.030000000000001137,0.0006430868167202816,46.704499999999989,0.0066007500000000085,0.081244999846144431,-0.6199999999999974,-0.013107822410147938,-0.3299999999999983,-0.007019783024888286,-0.5,-0.0105977108944468,0.04999999999999716,0.001072271070126467,-16.72,-0.2637223974763407,2.1599999999999966,0.048517520215633346,0,0,46.697299999999984,0.0071757099999999931,0.084709562624298754,-0.00999999999999801,-0.00021440823327611514,46.719899999999996,0.0067909900000000523,0.082407463254246902,0.020000000000003126,0.00042844901456733347,92.170000000000002,4304.7537649999995,15128.0,706436.75439999974,12476.0,582877.47239999997,300.0,40000.0,40000.0,14011.349999999997,1868795.9999999998,1867891.9999999993,1,0,0,0,0,0,0,0,0,0,0,0,0,0.003307299310408179,0.004078755335748341,168290.0,0.001782637114504724,3.18,1.46
HAR,0,0,0.0,0.0,0.0,-111.5,-1.0,0,0,0,0,0,0,-111.85,-1.0,-64.93,-1.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,69890.0,0.0,1.26,1.4
HRS,-0.09000000000000341,-0.0006464124111183181,139.16110000000003,0.0015757900000001274,0.039696221482656599,0.37999999999999545,0.0027385413663879757,1.1899999999999977,0.00862631388184123,-0.30000000000001137,-0.0021514629948365706,1.1899999999999977,0.00862631388184123,-2.8300000000000125,-0.019933788828625853,40.00999999999999,0.4036114193483304,0,0,139.09769999999997,0.0037697099999999466,0.061397964135628688,-0.12000000000000455,-0.0008620070397241903,139.29600000000002,0.029947999999999652,0.17305490458233089,-0.44999999999998863,-0.003223495702005649,51.380000000000003,7150.0973180000019,10681.0,1485702.5336999998,10054.0,1400481.9840000002,100.0,20000.0,30000.0,13916.110000000004,2785920.0000000005,4172930.9999999991,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00884351048467188,0.00684228258973338,119200.0,0.0008389261744966443,1.66,2.28
HIG,0.07000000000000028,0.0012567324955116746,55.739100000000008,0.0010041899999999955,0.031688957067091926,0.25,0.0045028818443804035,0.4200000000000017,0.007588075880758838,-0.03999999999999915,-0.0007167174341515705,0.5,0.00904649900488511,-1.3899999999999935,-0.02431770468859331,9.470000000000006,0.20453563714902823,0,0,55.729199999999992,0.00085936000000005539,0.029314842656921348,0.0800000000000054,0.0014365236128569834,55.745100000000001,0.00089698999999998088,0.029949791318137443,0.0799999999999983,0.0014362657091561632,69.980000000000004,3900.6222180000009,19722.0,1099091.2823999999,26279.0,1464925.4828999999,200.0,80000.0,40000.0,11147.820000000002,4459608.0,2229167.9999999995,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0036377378655866777,0.002954693711248145,356720.0,0.0005606638259699485,1.67,0.92
HAS,-0.12999999999999545,-0.0013438081455447123,96.855399999999989,0.036694840000000083,0.19155897264289157,5.159999999999997,0.05642427556041549,1.1099999999999994,0.011623036649214654,-2.5600000000000023,-0.02581425834425736,1.7800000000000011,0.018770431298112424,-19.590000000000003,-0.16858864027538728,19.409999999999997,0.25142487046632117,0,0,96.802999999999969,0.045481000000000139,0.21326274873967122,-0.11999999999999034,-0.0012408230793091754,96.893900000000031,0.036661789999999812,0.1914726873473076,-0.10999999999999943,-0.0011368334022323215,85.680000000000007,8298.5706719999998,12861.0,1244983.3829999997,11234.0,1088506.0726000003,200.0,41000.0,50000.0,19371.079999999998,3972649.9000000013,4840149.9999999981,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0038735070293212004,0.0063224959986304214,124560.0,0.0016056518946692357,2.57,2.28
HCA,0.12000000000000455,0.0015430114440016015,77.892899999999997,0.013164590000000163,0.11473704719923798,-0.7900000000000063,-0.010040671072699622,-0.4099999999999966,-0.00523627075351209,-0.4099999999999966,-0.00523627075351209,0.6599999999999966,0.008545901851612024,-13.14,-0.14434801713720752,8.709999999999994,0.12590344030066483,0,0,77.881299999999996,0.011629309999999978,0.10783927855841756,0.09999999999999432,0.0012856775520698677,77.905299999999997,0.013076910000000249,0.11435431780217242,0.10000000000000853,0.0012853470437019091,97.640000000000001,7605.4627559999999,22278.0,1735039.6013999998,16260.0,1266740.1779999998,500.0,70000.0,60000.0,38946.449999999997,5453371.0,4672878.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0032319920875113826,0.004309338474174643,354050.0,0.0014122299110295156,0.0,0.0
HCP,-0.019999999999999574,-0.0007331378299120078,27.251099999999997,0.00014779000000001658,0.012156891049936105,0.25,0.009255831173639392,0.16000000000000014,0.005904059040590411,-0.04999999999999716,-0.001830831197363499,0.23000000000000043,0.00850906400295969,-6.41,-0.19037719037719036,2.1800000000000033,0.08692185007974496,0,0,27.248000000000001,0.00015400000000001673,0.012409673645991531,-0.019999999999999574,-0.0007331378299120078,27.25810000000001,0.00015339000000000682,0.012385071659058208,-0.019999999999999574,-0.0007328691828508455,65.489999999999995,1784.6745389999996,40035.0,1090873.6799999999,45470.0,1239425.8070000005,200.0,100000.0,90000.0,5450.2199999999993,2725810.0000000009,2452320.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0017973069212371203,0.0017642019740528425,469110.0,0.00042633923813178146,5.48,1.48
