Symbol,priceChange,priceChange%,priceAvg,variance,volatility,previousCloseChange,previousCloseChange%,openChange,openChange%,highChange,highChange%,lowChange,lowChange%,yearHighChange,yearHighChange%,yearLowChange,yearLowChange%,matchedYearHigh,matchedYearLow,bidAvg,bidVar,bidVolatility,bidChange,bidChange%,askAvg,askVar,askVolatility,askChange,askChange%,tradeSizeAvg,tradeSizeAvg$,bidSizeAvg,bidSizeAvg$,askSizeAvg,askSizeAvg$,maxTradeSize,maxAskSize,maxBidSize,maxTradeSize$,maxAskSize$,maxBidSize$,Consumer_Discretionary,Consumer_Staples,Energy,Financials,Health_Care,Industrials,Information Technology,Materials,Real_Estate,Telecommunications_Services,Utilities,matchedDayHigh,matchedDayLow,sampleTo20DaysVolume,sampleToYearVolume,sharesOutstanding,maxTradeSizeToSharesOutstanding,dividendYieldAnnual,dividendRateAnnual
PHM,0.11999999999999744,0.003789074834227895,31.730500000000003,0.0049707500000000029,0.070503546010112161,0.21999999999999886,0.006968641114982542,0.6899999999999977,0.0221864951768488,-0.060000000000002274,-0.001883830455259098,0.7199999999999989,0.02317347924042481,-0.060000000000002274,-0.001883830455259098,13.61,0.7486248624862486,0,0,31.724800000000009,0.0048629600000000038,0.069734926686704155,0.120000000000001,0.0037902716361339545,31.736099999999997,0.0048977899999999601,0.069984212505392676,0.11999999999999744,0.003789074834227895,100.02,3173.6846100000002,44791.0,1420985.5168000003,37403.0,1187025.3483,431.0,100000.0,130000.0,13675.845500000001,3173609.9999999995,4124224.0000000014,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0018790307718059718,0.0019771999314444175,293970.0,0.0014661360002721365,1.16,0.36
PVH,0.010000000000005116,7.91076655328306e-05,126.33940000000003,0.0060296399999997304,0.077650756596441037,-1.0499999999999972,-0.008237232289950554,-0.4099999999999966,-0.0032326736576519482,-1.0100000000000051,-0.007925920113003257,0.9099999999999966,0.0072504182933630515,-6.820000000000007,-0.051185830081056795,41.89,0.49556370519342247,0,0,126.06479999999998,0.023724960000000329,0.15402908816194533,0.06999999999999318,0.0005541920671363564,126.54640000000001,0.032741039999999541,0.18094485347751546,0.10999999999999943,0.0008697714873092388,66.170000000000002,8359.878098000001,10202.0,1286113.0895999998,9611.0,1216237.4504,100.0,20000.0,30000.0,12633.940000000002,2530928.0,3781943.9999999995,1,0,0,0,0,0,0,0,0,0,0,0,0,0.009802382081061862,0.006554431397875877,77420.0,0.0012916559028674762,0.12,0.15
QRVO,0.14000000000000057,0.0017868538608806711,78.460399999999993,0.0033558400000000127,0.057929612462021642,-0.5900000000000034,-0.007460799190693012,-0.5600000000000023,-0.007084123972169542,-1.25,-0.015675946827188363,0.3499999999999943,0.004479140005118945,-2.710000000000008,-0.0333743842364533,28.959999999999994,0.5846961437512618,0,0,78.336200000000005,0.020933559999999823,0.14468434607793554,0.010000000000005116,0.0001276650070216407,78.49669999999999,0.006798109999999905,0.082450651907670841,0.09000000000000341,0.0011481056257176094,80.609999999999999,6324.6928439999992,9666.0,757197.70920000004,12217.0,958994.18389999983,100.0,30000.0,30000.0,7846.0399999999991,2354900.9999999995,2350086.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.005428677641202188,0.00532699811992189,127150.0,0.0007864726700747149,0.0,0.0
QCOM,0.1599999999999966,0.0024360535931789978,65.786899999999989,0.0065733899999999758,0.08107644540802203,-0.6499999999999915,-0.00977590615130082,-0.35999999999999943,-0.005438066465256789,-0.9399999999999977,-0.01407607067984423,0.28000000000000114,0.00427089688834657,-4.3999999999999915,-0.06264236902050102,16.92,0.3458708094848733,0,0,65.779600000000016,0.0069298399999999571,0.083245660547562217,0.1699999999999875,0.00258830694275255,65.793300000000002,0.0069641099999999852,0.083451243250175638,0.1700000000000017,0.0025879129243416305,88.359999999999999,5812.9304839999986,24235.0,1594168.6060000004,32840.0,2160651.9720000001,800.0,180000.0,90000.0,52629.51999999999,11842794.0,5920164.0000000019,0,0,0,0,0,0,1,0,0,0,0,0,1,0.00045970641533413286,0.0007843742285307515,1474170.0,0.000542678252847365,3.53,2.28
PWR,0.0,0.0,35.934600000000003,0.00053484000000002664,0.023126608052198804,-0.769999999999996,-0.020969498910675274,-0.3399999999999963,-0.009368972168641397,-0.3499999999999943,-0.009641873278236759,0.0800000000000054,0.002230275996654737,-2.8699999999999974,-0.07393096342091698,5.720000000000002,0.18921601058551116,0,0,35.914399999999993,0.0010146400000000161,0.031853414259699321,-0.030000000000001137,-0.0008347245409015342,35.941299999999998,0.00058130999999999396,0.024110371212405543,0.0,0.0,79.120000000000005,2843.1455520000004,13430.0,482330.39199999993,21696.0,779782.44479999994,100.0,50000.0,50000.0,3593.4600000000005,1797065.0,1795719.9999999998,0,0,0,0,0,1,0,0,0,0,0,0,0,0.006058990923766377,0.005046391466546928,154720.0,0.0006463288521199586,0.0,0.0
DGX,0.060000000000002274,0.0006501950585175799,92.276900000000026,0.0010673900000000966,0.032670935095281503,0.3400000000000034,0.0036956521739130803,0.6500000000000057,0.007089104591558574,-0.060000000000002274,-0.000649350649350674,0.8900000000000006,0.009732094040459273,-20.61999999999999,-0.18254249291784694,7.8700000000000045,0.09316917248727365,0,0,92.117999999999995,0.017121999999999696,0.13085106037017696,0.3300000000000125,0.0035885167464116195,92.459199999999981,0.013979359999999797,0.11823434357241468,0.1700000000000017,0.0018402251569603996,84.510000000000005,7798.3208190000023,10904.0,1004454.6719999999,11420.0,1055884.0639999998,100.0,20000.0,20000.0,9227.6900000000023,1849183.9999999995,1842360.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.006428566538440181,0.008630356059631257,136300.0,0.0007336757153338225,1.96,1.8
RRC,-0.019999999999999574,-0.0011402508551881171,17.513300000000001,0.00092610999999999171,0.030432055467877809,-1.0599999999999987,-0.057050592034445576,-0.8900000000000006,-0.04834329168929932,-0.9200000000000017,-0.049891540130151936,0.23999999999999844,0.013888888888888798,-22.12,-0.5580221997981837,1.5299999999999994,0.09568480300187614,0,0,17.509300000000003,0.00093450999999999886,0.030569756296051805,-0.010000000000001563,-0.0005704506560183435,17.519600000000004,0.00092783999999998729,0.03046046618159327,-0.00999999999999801,-0.0005701254275939573,101.37,1775.3232210000001,41100.0,719632.2300000001,64664.0,1132887.4144000004,400.0,370000.0,90000.0,7005.3200000000006,6482252.0000000019,1575837.0000000002,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0014122243431979602,0.0017245738072335808,248140.0,0.0016119932296284356,0.42,0.08
RTN,-0.05000000000001137,-0.00027101739931709775,184.33859999999993,0.005188040000000207,0.072028050091615045,-0.020000000000010232,-0.00010842459069722558,0.6200000000000045,0.0033728647590033976,-1.2299999999999898,-0.006624656648893143,0.6800000000000068,0.003700478885502867,-5.810000000000002,-0.030538764783180038,46.74000000000001,0.3394335511982572,0,0,184.28670000000005,0.013642110000000002,0.11679944349182492,0.0,0.0,184.39360000000005,0.0070250399999999226,0.083815511690855424,0.0,0.0,69.799999999999997,12866.834279999994,14664.0,2702380.1688000006,15215.0,2805548.6240000008,100.0,40000.0,180000.0,18433.859999999993,7375744.0000000019,33171606.000000011,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0046340433555254,0.004728584019418357,289090.0,0.00034591303746238193,1.73,3.19
O,0.12000000000000455,0.002118270079435208,56.742899999999992,0.002894589999999969,0.053801394033983624,0.10000000000000142,0.001764602082230482,0.30000000000000426,0.005312555339118191,-0.05999999999999517,-0.0010557803976771981,0.44000000000000483,0.007811113083614501,-6.829999999999998,-0.10738993710691822,3.9200000000000017,0.07417218543046361,0,0,56.710000000000001,0.0056960000000000344,0.075471849056453058,0.17999999999999972,0.003181898532791227,56.765499999999996,0.0030407500000000209,0.055142995928767063,0.10000000000000142,0.0017642907551164682,77.140000000000001,4377.1473059999998,11800.0,669178.0,13337.0,757081.47349999996,162.0,38700.0,24000.0,9192.3497999999981,2196824.8499999996,1361040.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.004703733107963907,0.004380366147276609,281790.0,0.0005748961992973491,4.52,2.54
RHT,0.0799999999999983,0.0006450052406675666,123.99839999999996,0.01517343999999991,0.12318051794013496,0.12000000000000455,0.0009678199854827369,0.2600000000000051,0.002099313685910417,-0.20999999999999375,-0.001689189189189139,0.7999999999999972,0.006487713891817347,-0.45000000000000284,-0.0036127167630058033,55.56999999999999,0.810767435074409,0,0,123.94280000000001,0.016868160000000031,0.12987748072702993,0.4200000000000017,0.0033950367795651257,124.04649999999998,0.011734749999999978,0.10832705109989831,0.269999999999996,0.0021788250484183025,80.629999999999995,9997.9909919999955,11466.0,1421128.1448000001,10724.0,1330274.6659999997,100.0,20000.0,30000.0,12399.839999999997,2480929.9999999995,3718284.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.006835472226602305,0.004837436224795895,178290.0,0.0005608839531101016,0.0,0.0
REG,0.1799999999999926,0.0027088036117380375,66.576199999999986,0.0039815599999998771,0.063099603802241722,-0.5799999999999983,-0.008629668204136265,-0.060000000000002274,-0.0008996851102114601,-0.15000000000000568,-0.0022461814914645955,0.5899999999999892,0.008933979406420187,-5.420000000000002,-0.0752255378209577,7.999999999999993,0.13644891693672168,0,0,66.557600000000008,0.004788239999999915,0.069197109766231668,0.15000000000000568,0.0022566571385588337,66.64009999999999,0.0086949899999999494,0.093246930244378287,0.1799999999999926,0.00270635994587269,79.769999999999996,5310.7834739999989,12993.0,864782.8968000001,10244.0,682661.18439999991,100.0,20000.0,30000.0,6657.619999999999,1332801.9999999998,1996728.0000000002,0,0,0,0,0,0,0,0,1,0,0,0,0,0.009660531093055728,0.006757323398534685,170110.0,0.0005878549174063841,3.19,2.12
REGN,-1.6999999999999886,-0.004396400124133621,385.22220000000016,0.23070916000000316,0.48032193370697029,-8.639999999999986,-0.021950104161373878,-7.909999999999968,-0.020132861615210284,-7.909999999999968,-0.020132861615210284,0.30000000000001137,0.0007798689820110517,-158.56999999999994,-0.2917302916015085,44.89000000000004,0.1319944720515159,0,0,384.77459999999996,0.31649084000000272,0.56257518608627122,-1.7600000000000477,-0.004551802617286628,385.88239999999996,0.29151024000000159,0.53991688249211245,-1.080000000000041,-0.0027913468248430924,45.920000000000002,17689.403424000007,11932.0,4591130.5271999994,9039.0,3487991.0135999997,200.0,110000.0,60000.0,77044.440000000031,42447063.999999993,23086475.999999996,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0049565920407407685,0.005097475905767741,107150.0,0.0018665422305179655,0.0,0.0
RF,0.02000000000000135,0.001280409731114043,15.636599999999998,7.8440000000000787e-05,0.0088566359301938558,0.20000000000000107,0.012953367875647739,0.2400000000000002,0.015584415584415598,-0.09999999999999964,-0.006353240152477741,0.28000000000000114,0.01822916666666674,-0.39000000000000057,-0.024329382407985062,2.84,0.221875,0,0,15.634300000000001,8.6510000000004415e-05,0.0093010752066631751,0.02000000000000135,0.001280409731114043,15.644300000000008,8.650999999999631e-05,0.0093010752066627397,0.019999999999999574,0.001279590531030043,122.41,1914.0762059999997,402218.0,6288396.8774000006,413204.0,6464287.3372000037,1190.0,1010000.0,1270000.0,18607.553999999996,15800743.000000009,19855561.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0009363276542510125,0.0008027843849419659,1159970.0,0.001025888600567256,2.37,0.36
RSG,0.030000000000001137,0.00047029314939647495,63.811000000000007,0.0012930000000000233,0.035958309192730728,-0.0899999999999963,-0.0014082303238929167,0.1700000000000017,0.0026708562450903648,-0.19000000000000483,-0.0029682862052805,0.1700000000000017,0.0026708562450903648,-3.3600000000000065,-0.05001488538255442,9.68,0.1787957148134466,0,0,63.804500000000019,0.0014547500000000472,0.038141185089087717,0.04999999999999716,0.0007840677434529898,63.859799999999993,0.0038619600000000089,0.062144669924298485,-0.00999999999999801,-0.00015661707126073625,44.43,2835.1227300000005,18535.0,1182616.4075000004,16789.0,1072142.1821999999,100.0,58800.0,48400.0,6381.1000000000004,3754956.2399999998,3088137.8000000007,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0036885970629037387,0.003929618872076445,334230.0,0.0002991951650061335,2.17,1.38
RAI,0,0,0.0,0.0,0.0,-66.89,-1.0,0,0,0,0,0,0,-67.81,-1.0,-43.38,-1.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1426460.0,0.0,3.05,2.04
RHI,0.030000000000001137,0.0005619029780858051,53.408400000000007,0.0006434399999999665,0.02536611913557071,-0.10999999999999943,-0.0020549224733794028,0.21000000000000085,0.003946626573952281,-0.269999999999996,-0.005028869435649023,0.45000000000000284,0.008495374740419158,-0.28000000000000114,-0.00521415270018624,10.5,0.24464119291705497,0,0,53.37680000000001,0.0011477599999999478,0.033878606819052456,0.02999999999999403,0.000562008242787449,53.448099999999982,0.0032053899999999937,0.056616163769722103,0.21999999999999886,0.004118307749906381,81.150000000000006,4334.091660000001,12552.0,669985.59360000014,12951.0,692206.34309999982,100.0,30000.0,30000.0,5340.8400000000011,1603442.9999999995,1601304.0000000002,0,0,0,0,0,1,0,0,0,0,0,0,0,0.007805969474475009,0.007656144303460691,125350.0,0.0007977662544874351,1.81,0.96
ROK,0.03999999999999204,0.00020855057351403566,191.95349999999999,0.0068687500000001022,0.082877922271254498,-0.6999999999999886,-0.003635608185312084,0.4099999999999966,0.002141775061380121,-0.5600000000000023,-0.0029106029106029225,0.9099999999999966,0.004766144660346706,-18.879999999999995,-0.08959757023538342,62.18000000000001,0.47956193120468926,0,0,191.67809999999997,0.03903538999999992,0.19757375837899102,-0.14000000000001478,-0.0007293186080434193,192.22990000000004,0.035220990000000632,0.1876725605942452,0.3300000000000125,0.0017181236007706175,82.450000000000003,15826.566075000001,11712.0,2244933.9071999998,11886.0,2284844.5914000007,100.0,20000.0,20000.0,19195.349999999999,3844598.0000000009,3833561.9999999995,0,0,0,0,0,1,0,0,0,0,0,0,0,0.009318247830357031,0.009583420508171188,128360.0,0.0007790588968526021,1.73,3.34
COL,0.0,0.0,132.95640000000003,0.00044504000000013727,0.021095971179354064,-0.4000000000000057,-0.002999175226812669,-0.15000000000000568,-0.0011268028846154272,-0.27000000000001023,-0.002026418492945138,0.18000000000000682,0.0013555237593192773,-3.530000000000001,-0.025860805860805868,45.92,0.5275129236071224,0,0,132.90640000000002,0.0044710400000001023,0.066865835820694733,0.04999999999998295,0.00037622272385239236,133.17670000000007,0.03828811000000152,0.19567347801887081,0.009999999999990905,7.519362358065196e-05,112.08,14901.753312000003,11178.0,1485627.7392000002,8672.0,1154908.3424000007,400.0,20000.0,30000.0,53182.560000000012,2663534.0000000014,3987192.0000000005,0,0,0,0,0,1,0,0,0,0,0,0,0,0.009974609599226808,0.006146583513029134,162800.0,0.002457002457002457,0.99,1.32
ROP,-0.1199999999999477,-0.00046721694440098006,256.9083,0.01456610999999992,0.12069014044237383,0.6800000000000068,0.002655835025777249,0.6400000000000432,0.002499218994064524,-1.259999999999991,-0.004884099542600166,2.2800000000000296,0.008960855211444858,-4.649999999999977,-0.017790871178788602,78.53000000000003,0.44070935518267035,0,0,256.3605,0.2324187499999989,0.48209827836240909,-0.19999999999998863,-0.000778573653067536,257.34519999999998,0.16033496000000086,0.40041848109197065,-1.0,-0.003875968992248062,40.219999999999999,10332.851826,13086.0,3354733.503,10504.0,2703153.9807999996,100.0,20000.0,39400.0,25690.829999999998,5146904.0,10100603.699999999,0,0,0,0,0,1,0,0,0,0,0,0,0,0.011800431293734506,0.00933425546432235,102360.0,0.0009769441187964048,0.54,1.4
ROST,0.010000000000005116,0.00015598190609897232,64.118700000000004,0.0014153100000000478,0.037620606055724939,-0.789999999999992,-0.012170697889385181,0.010000000000005116,0.00015598190609897232,-0.769999999999996,-0.01186623516720598,0.4300000000000068,0.006751452347307377,-5.689999999999998,-0.0815069474287351,11.270000000000003,0.21324503311258283,0,0,64.103699999999989,0.0014193100000000336,0.037673730900987676,-0.030000000000001137,-0.00046787273861511437,64.149300000000011,0.0015325100000000266,0.039147285985110469,-0.060000000000002274,-0.0009347250350522242,78.049999999999997,5004.4645350000001,13886.0,890143.9781999999,13923.0,893150.7039000002,400.0,40000.0,40000.0,25647.480000000003,2565972.0000000005,2564147.9999999995,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0035651495101744935,0.0026761318186072935,385590.0,0.0010373713011229545,0.97,0.64
RCL,-0.18999999999999773,-0.001541207008436062,122.99020000000004,0.019121960000000163,0.13828217527939082,-1.3900000000000006,-0.011166452442159388,0.29999999999999716,0.002443195699975545,-0.5600000000000023,-0.004528912252325129,1.6700000000000017,0.013753912040849955,-10.659999999999997,-0.07970093457943923,44.32000000000001,0.5626507553637172,0,0,122.9426,0.024295240000000301,0.15586930422633027,-0.12000000000000455,-0.0009740259740260109,123.02770000000001,0.020655709999999751,0.14372094488974024,-0.060000000000002274,-0.000486775920817802,74.769999999999996,9195.9772540000031,11702.0,1438674.3052000001,10418.0,1281702.5786000001,100.0,30000.0,40000.0,12299.020000000004,3690831.0000000005,4917704.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.004035842731137954,0.004745481732719643,214090.0,0.000467093278527722,1.93,2.4
R,-0.03999999999999204,-0.0005039052658099275,79.335399999999993,0.0011328399999999176,0.03365768857185409,-0.009999999999990905,-0.0001260239445493498,0.3500000000000085,0.004430940625395728,-0.3199999999999932,-0.004017072558373,0.3500000000000085,0.004430940625395728,-6.159999999999997,-0.07204678362573096,16.82,0.26903390914907227,0,0,79.273499999999999,0.0009107499999999821,0.03017863482664486,-0.010000000000005116,-0.0001261670451678667,79.512299999999982,0.018359710000000175,0.13549800736542281,0.2600000000000051,0.0032749716588991703,92.799999999999997,7362.3251199999995,10762.0,853141.40700000001,13351.0,1061568.7172999997,100.0,30000.0,22000.0,7933.5399999999991,2385368.9999999995,1744017.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.013154556111694655,0.012940326687471589,52950.0,0.0018885741265344666,2.33,1.84
